,area,location,point,lat,long,z
20,"Commonwealth Balara WB, Philippines","Amsterdam Avenue, Don Antonio Drive, Brgy. Batasan Hills, Matandang Balara, Quezon City, 1109 Metro Manila, Philippines","(14.6765861, 121.0872741, 0.0)",14.6765861,121.0872741,0.0
21,"Commonwealth Balara WB, Philippines","Amsterdam Avenue, Don Antonio Drive, Brgy. Batasan Hills, Matandang Balara, Quezon City, 1109 Metro Manila, Philippines","(14.6765861, 121.0872741, 0.0)",14.6765861,121.0872741,0.0
22,"EDSA Reliance NB, Philippines","EDSA cor. Reliance St., Brgy, Mandaluyong, Metro Manila, Philippines","(14.5767528, 121.0517717, 0.0)",14.5767528,121.0517717,0.0
23,"EDSA Reliance NB, Philippines","EDSA cor. Reliance St., Brgy, Mandaluyong, Metro Manila, Philippines","(14.5767528, 121.0517717, 0.0)",14.5767528,121.0517717,0.0
24,"EDSA SM North NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
25,"EDSA SM North NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
26,"EDSA Shaw Tunnel NB, Philippines","Mayaman, Diliman, Lungsod Quezon, Kalakhang Maynila, Philippines","(14.6464689, 121.0521788, 0.0)",14.6464689,121.0521788,0.0
27,"EDSA P. Tuazon Tunnel, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
28,"EDSA Pioneer NB, Philippines","Pioneer St. cor EDSA, Mandaluyong, 1554 Metro Manila, Philippines","(14.5725722, 121.0483433, 0.0)",14.5725722,121.0483433,0.0
29,"EDSA P. Tuazon Tunnel, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
31,"EDSA SM North NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
38,"North Ave. WB, Philippines",,,,,
43,"Aurora Katipunan EB, Philippines","Katipunan, Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines","(14.6307723, 121.0727009, 0.0)",14.6307723,121.0727009,0.0
44,"Highway 54 SB, Philippines","EDSA, Highway 54, Mandaluyong, 1554 Metro Manila, Philippines","(14.584252, 121.0552278, 0.0)",14.584252,121.0552278,0.0
46,"EDSA Santolan SB, Philippines","Ground Floor, Vertis North Mall, EDSA cor, North Ave, Bagong Pag-asa, Quezon City, 1104 Metro Manila, Philippines","(14.6564091, 121.0337515, 0.0)",14.6564091,121.0337515,0.0
47,"EDSA Santolan F/O SB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
52,"EDSA Cabrera SB, Philippines",,,,,
53,"C5 Lanuza SB, Philippines","Lanuza, Surigao del Sur, Philippines","(9.1515977, 126.0132051, 0.0)",9.1515977,126.0132051,0.0
54,"EDSA Darrio Bridge NB, Philippines","1010 Epifanio de los Santos Ave, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines","(14.656868, 121.025946, 0.0)",14.656868,121.025946,0.0
57,"Katipunan CP Garcia NB, Philippines","Unit 2 TBI, U.P. Ayala Technology Park C.P. Garcia, corner Katipunan Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines","(14.6477889, 121.0732612, 0.0)",14.6477889,121.0732612,0.0
58,"Commonwealth Philcoa EB, Philippines","G/F DBP Bldg., Commonwealth Ave., Diliman,, Diliman, Quezon City, Metro Manila, Philippines","(14.654577, 121.053247, 0.0)",14.654577,121.053247,0.0
59,"EDSA Monte De Piedad SB, Philippines","Monte De Piedad, Southbound, Epifanio de los Santos Ave, Lungsod Quezon, Kalakhang Maynila, Philippines","(14.623738, 121.048881, 0.0)",14.623738,121.048881,0.0
60,"EDSA Approach Ortigas flyover SB, Philippines","Shaw Blvd, Ortigas Center, Mandaluyong, Metro Manila, Philippines","(14.5814475, 121.05338, 0.0)",14.5814475,121.05338,0.0
61,"EDSA Santolan F/O SB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
80,"C5 McKinley NB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
83,"Quezon Ave. Delta EB, Philippines","West Avenue, Nayong Kaunlaran , 1104 Quezon City , Metro Manila, Quezon City, Metro Manila, Philippines","(14.6377462, 121.0265152, 0.0)",14.6377462,121.0265152,0.0
84,"Norht ave. SB, Philippines",,,,,
86,"EDSA Timog SB, Philippines","GMA International, 10F GMA Network Center, EDSA cor, Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6332902, 121.0438737, 0.0)",14.6332902,121.0438737,0.0
89,"Magallanes SLEX SB, Philippines","Phase 2, Block 3, Lot 5 Paseo de Magallanes Promenade, SLEX Magallanes, Makati, 1232 Metro Manila, Philippines","(14.535059, 121.019033, 0.0)",14.535059,121.019033,0.0
90,"Otis Nagtahan WB, Philippines","Guazon Avenue, Paco, Manila, Metro Manila, Philippines","(14.592262, 120.9993273, 0.0)",14.592262,120.9993273,0.0
91,"Aurora Blvd. Katipunan EB, Philippines","938 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines","(14.6266259, 121.0614968, 0.0)",14.6266259,121.0614968,0.0
92,"Commonwealth Luzon WB, Philippines","Diliman Commercial Center, 170 Commonwealth Ave, Quezon City, 1126 Metro Manila, Philippines","(14.6818872, 121.0854878, 0.0)",14.6818872,121.0854878,0.0
93,"N. Domingo Gilmore WB, Philippines",,,,,
94,"Ortigas AVe. EB, Philippines","Ortigas, Mandaluyong, Metro Manila, Philippines","(14.5878494, 121.0567228, 0.0)",14.5878494,121.0567228,0.0
97," Katipunan UP Town Center NB, Philippines","249, 216 Katipunan Ave, Diliman, Quezon City, 1800 Metro Manila, Philippines","(14.6507422, 121.0752145, 0.0)",14.6507422,121.0752145,0.0
98,"Katipunan UP Town Center NB, Philippines","249, 216 Katipunan Ave, Diliman, Quezon City, 1800 Metro Manila, Philippines","(14.6507422, 121.0752145, 0.0)",14.6507422,121.0752145,0.0
99,"EDSA Hi-way 54 SB, Philippines","EDSA Ext, Pasay, Metro Manila, Philippines","(14.5362036, 120.9888642, 0.0)",14.5362036,120.9888642,0.0
100,"EDSA Boni NB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
101,"Ateneo gate 3 SB, Philippines","Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines","(14.6398614, 121.0784939, 0.0)",14.6398614,121.0784939,0.0
105,"EDSA Reliance SB, Philippines","EDSA cor. Reliance St., Brgy, Mandaluyong, Metro Manila, Philippines","(14.5767528, 121.0517717, 0.0)",14.5767528,121.0517717,0.0
107,"EDSA Boni SB, Philippines","Edsa corner, Boni Ave, Mandaluyong City, Mandaluyong, 1550 Metro Manila, Philippines","(14.5724682, 121.0470239, 0.0)",14.5724682,121.0470239,0.0
109," EDSA Shaw Tunnel NB, Philippines","Mayaman, Diliman, Lungsod Quezon, Kalakhang Maynila, Philippines","(14.6464689, 121.0521788, 0.0)",14.6464689,121.0521788,0.0
110,"C5 Libis F/O SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
111,"EDSA Magallanes Interchange NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
113,"Katipunan Aurora WB, Philippines","Katipunan, Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines","(14.6307723, 121.0727009, 0.0)",14.6307723,121.0727009,0.0
115,"EDSA  Pasay Road SB, Philippines","Taft Ave, Pasay, 1300 Metro Manila, Philippines","(14.5385754, 121.0006372, 0.0)",14.5385754,121.0006372,0.0
116,"EDSA Ayala NB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
117,"C5 Calle Industria SB, Philippines","E Rodriguez Jr Avenue, cor Calle Industria, Brgy Bagumbayan, Quezon City, 1110 Metro Manila, Philippines","(14.6056052, 121.0793967, 0.0)",14.6056052,121.0793967,0.0
120,"Quezon Ave EDSA WB, Philippines","1107 Epifanio de los Santos Ave, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines","(14.6558202, 121.0281724, 0.0)",14.6558202,121.0281724,0.0
126,"EDSA Megamall NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
129,"Elliptical North Ave. WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
130,"EDSA Santolan SB, Philippines","Ground Floor, Vertis North Mall, EDSA cor, North Ave, Bagong Pag-asa, Quezon City, 1104 Metro Manila, Philippines","(14.6564091, 121.0337515, 0.0)",14.6564091,121.0337515,0.0
136,"EDSA Whiteplains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
138,"Marcos Highway Tayug EB, Philippines","Marikina-Infanta Hwy, Marikina, 1801 Metro Manila, Philippines","(14.6259836, 121.0837404, 0.0)",14.6259836,121.0837404,0.0
139,"C5 Libis SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
140,"Marcos Highway Tayug EB, Philippines","Marikina-Infanta Hwy, Marikina, 1801 Metro Manila, Philippines","(14.6259836, 121.0837404, 0.0)",14.6259836,121.0837404,0.0
141,"Mindanao Ave. North Avenue SB, Philippines","North Avenue, Bagong Pag-asa, Quezon City, Metro Manila, Philippines","(14.65217, 121.032333, 0.0)",14.65217,121.032333,0.0
144,"EDSA SM North NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
145,"EDSA Kalayaan NB, Philippines","Kalayaan Flyover, Metro Manila, Philippines","(14.5573124, 121.0395546, 0.0)",14.5573124,121.0395546,0.0
146,"EDSA Ayala Service road SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
147,"EDSA Ayala SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
150,"C5 Blueridge NB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
151,"EDSA Taft SB, Philippines","Taft Avenue, Epifanio de los Santos Ave, Pasay, 1300 Metro Manila, Philippines","(14.537669, 121.0021747, 0.0)",14.537669,121.0021747,0.0
152,"EDSA P. Tuazon SB, Philippines","EDSA, cor P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines","(14.6165645, 121.0519775, 0.0)",14.6165645,121.0519775,0.0
154,"Orosa St. Burgos EB, Philippines","Burgos, Pangasinan, Philippines","(16.0627885, 119.8699493, 0.0)",16.0627885,119.8699493,0.0
155,"EDSA Santolan svc. rd., Philippines","Unnamed Road, Quezon City, Metro Manila, Philippines","(14.6311549, 121.0725611, 0.0)",14.6311549,121.0725611,0.0
156,"EDSA before Ayala SB, Philippines","SM City North EDSA, Epifanio Delos Santos Avenue, corner North Avenue, Santo Cristo, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.65628, 121.031023, 0.0)",14.65628,121.031023,0.0
157,"Mindanao Ave. Sauyo NB, Philippines","Old Sauyo Road, corner Mindanao Avenue, Novaliches, Quezon City, 1116 Metro Manila, Philippines","(14.6880939, 121.0317115, 0.0)",14.6880939,121.0317115,0.0
158,"Mindanao Ave. BJMP NB, Philippines","144 Mindanao Avenue, Project 8, Quezon City, 1106 Metro Manila, Philippines","(14.6696169, 121.0324952, 0.0)",14.6696169,121.0324952,0.0
160,"EDSA Ayala Tunnel NB, Philippines","Edsa-Ayala, Makati, Metro Manila, Philippines","(14.549372, 121.029081, 0.0)",14.549372,121.029081,0.0
161,"C5 Katipunan Intersection EB, Philippines","C-5, Quezon City, Metro Manila, Philippines","(14.6376425, 121.0744073, 0.0)",14.6376425,121.0744073,0.0
162,"EDSA Main Ave. NB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
163,"Commonwealth Litex EB, Philippines","Al Commonwea, Lower Jasmin Basketball Court, Quezon City, Metro Manila, Philippines","(14.7035534, 121.0895401, 0.0)",14.7035534,121.0895401,0.0
164,"EDSA Whiteplains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
165,"EDSA P. Tuazon svc. rd, Philippines","EDSA cor, P. Tuazon Blvd, Cubao, Lungsod Quezon, 1109 Kalakhang Maynila, Philippines","(14.6161275, 121.0522983, 0.0)",14.6161275,121.0522983,0.0
170,"Commo Tandang Sora WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
172,"C5 Libis F/O NB, Philippines","Libis, Quezon City, 1800 Metro Manila, Philippines","(14.6165947, 121.0772212, 0.0)",14.6165947,121.0772212,0.0
177,"Commonwealth Techno-hub, Philippines","University of the Philippines, 1101 Commonwealth Ave, Diliman, Quezon City, Metro Manila, Philippines","(14.6577751, 121.0561016, 0.0)",14.6577751,121.0561016,0.0
178,"Commonwealth Winston EB, Philippines",,,,,
180,"Quezon Ave Elliptical EB, Philippines",,,,,
181,"Quezon Ave. EDSA Tunnel SB, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
183,"Quezon Ave. Sto. Domingo WB, Philippines","537 Quezon Ave, Santa Mesa Heights, Quezon City, Metro Manila, Philippines","(14.6264114, 121.0103836, 0.0)",14.6264114,121.0103836,0.0
186,"EDSA Annapolis SB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
187,"Katipunan Ayala heights NB, Philippines","Ayala Heights Dr, Matandang Balara, Quezon City, Metro Manila, Philippines","(14.6659323, 121.0866712, 0.0)",14.6659323,121.0866712,0.0
188,"EDSA Megamall NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
190,"Commonwealth St. Peter EB, Philippines","Commonwealth Ave, Matandang Balara, Quezon City, 1119 Metro Manila, Philippines","(14.662917, 121.067715, 0.0)",14.662917,121.067715,0.0
192,"EDSA SM North, Philippines","SM City North EDSA North Towers, Level 2, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6576547, 121.0338408, 0.0)",14.6576547,121.0338408,0.0
201,"EDSA Estrella SB, Philippines","Epifanio de los Santos Avenue & Estrella, Makati, Metro Manila, Philippines","(14.5599457, 121.0406986, 0.0)",14.5599457,121.0406986,0.0
204,"EDSA Ayala NB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
205,"EDSA P. Tuazon Tunnel SB, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
206,"EDSA Monte SB, Philippines","8001-A. North, Epifanio de los Santos Ave, Project 7, Quezon City, 1105 Metro Manila, Philippines","(14.657141, 121.020709, 0.0)",14.657141,121.020709,0.0
207,"EDSA Guadalupe MRT NB, Philippines","Guadalupe, ext.cembo Guadalupe 1212, Guijo, Makati, Metro Manila, Philippines","(14.5667504, 121.0454767, 0.0)",14.5667504,121.0454767,0.0
209,"EDSA Timog SB, Philippines","GMA International, 10F GMA Network Center, EDSA cor, Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6332902, 121.0438737, 0.0)",14.6332902,121.0438737,0.0
210,"C5 Katipunan Aurora WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
212,"EDSA Magallanes SB, Philippines","Magallanes Station, Epifanio de los Santos Ave, Makati, Metro Manila, Philippines","(14.5420229, 121.0194852, 0.0)",14.5420229,121.0194852,0.0
215,"Villamor Rotonda EB, Philippines","Villamor, Pasay, Metro Manila, Philippines","(14.5268221, 121.0148742, 0.0)",14.5268221,121.0148742,0.0
216,"EDSA  Buendia NB, Philippines","United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines","(14.5814595, 120.9836439, 0.0)",14.5814595,120.9836439,0.0
219,"Araneta cor Palansa St. NB, Philippines","#14 Araneta Avenue, Corner Palanza Street, Quezon City, Quezon City, Metro Manila, Philippines","(14.608033, 121.017408, 0.0)",14.608033,121.017408,0.0
220,"EDSA Taft Ave. MRT NB, Philippines","Taft Avenue, Epifanio de los Santos Ave, Pasay, 1300 Metro Manila, Philippines","(14.537669, 121.0021747, 0.0)",14.537669,121.0021747,0.0
221,"C5 Kalayaan elevated U-turn slot , Philippines","Elevated U-Turn, Makati, Metro Manila, Philippines","(14.5568033, 121.063609, 0.0)",14.5568033,121.063609,0.0
224,"Quezon Ave. Delta WB, Philippines","West Avenue, Nayong Kaunlaran , 1104 Quezon City , Metro Manila, Quezon City, Metro Manila, Philippines","(14.6377462, 121.0265152, 0.0)",14.6377462,121.0265152,0.0
226,"C5 after F/O SB, Philippines",,,,,
228,"EDSA MRT Ortigas NB, Philippines","Ortigas, Mandaluyong, Metro Manila, Philippines","(14.5878494, 121.0567228, 0.0)",14.5878494,121.0567228,0.0
229,"C5 Katipunan CP Garcia SB, Philippines","Katipunan Ave & C.P. Garcia Ave, Diliman, Quezon City, 1800 Metro Manila, Philippines","(14.6482894, 121.0743128, 0.0)",14.6482894,121.0743128,0.0
230,"EDSA Ayala Tunnel NB, Philippines","Edsa-Ayala, Makati, Metro Manila, Philippines","(14.549372, 121.029081, 0.0)",14.549372,121.029081,0.0
231,"EDSA Shaw tunnel SB, Philippines","Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila, Philippines","(14.5812485, 121.0536577, 0.0)",14.5812485,121.0536577,0.0
232,"EDSA Polymedic SB, Philippines","Rom 205 Hospital Building, Integrative Medicine, ~ 163 Edsa, Mandaluyong, Metro Manila, Philippines","(14.577039, 121.050082, 0.0)",14.577039,121.050082,0.0
233,"EDSA Polymedic SB, Philippines","Rom 205 Hospital Building, Integrative Medicine, ~ 163 Edsa, Mandaluyong, Metro Manila, Philippines","(14.577039, 121.050082, 0.0)",14.577039,121.050082,0.0
234,"Ortigas Emerald EB, Philippines","22 Emerald Ave, San Antonio, Pasig, Metro Manila, Philippines","(14.5855824, 121.0614136, 0.0)",14.5855824,121.0614136,0.0
235,"EDSA Estrella SB, Philippines","Epifanio de los Santos Avenue & Estrella, Makati, Metro Manila, Philippines","(14.5599457, 121.0406986, 0.0)",14.5599457,121.0406986,0.0
237,"EDSA P.Tuazon NB, Philippines","EDSA cor, P. Tuazon Blvd, Cubao, Lungsod Quezon, 1109 Kalakhang Maynila, Philippines","(14.6161275, 121.0522983, 0.0)",14.6161275,121.0522983,0.0
238,"EDSA Annapolis SB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
240,"EDSA North Ave NB, Philippines","North Avenue, Bagong Pag-asa, Quezon City, Metro Manila, Philippines","(14.65217, 121.032333, 0.0)",14.65217,121.032333,0.0
241,"C5 Greenmeadow SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
245,"Ortigas Ave. before POEA EB, Philippines","Ortigas Avenue, Blas F. Ople Building, corner Epifanio de los Santos Ave, Mandaluyong, Metro Manila, Philippines","(14.5930233, 121.0578696, 0.0)",14.5930233,121.0578696,0.0
249,"C5 Kalayaan SB, Philippines","144-A J.P. Rizal St, Makati, 1216 Metro Manila, Philippines","(14.5554718, 121.0648637, 0.0)",14.5554718,121.0648637,0.0
251,"EDSA Kaingin SB, Philippines","Kaingin Road, Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila, Philippines","(14.6573199, 121.0106323, 0.0)",14.6573199,121.0106323,0.0
252,"C5 Katipunan Major Dizon NB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
253,"EDSA Buendia SB, Philippines","G/F SM Cyber Two Bldg., EDSA Buendia, Makati, 1226 Metro Manila, Philippines","(14.5561598, 121.0342554, 0.0)",14.5561598,121.0342554,0.0
255,"C5 Katipunan Ateneo  NB, Philippines","Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines","(14.6398614, 121.0784939, 0.0)",14.6398614,121.0784939,0.0
256," EDSA Magallanes NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
258,"Lacson G. Tuazon SB, Philippines","301 G. Tuazon cor. E. Queintos sts., Balic-balic, Sampaloc, Manila Manila City, Sampaloc, Manila, 1008 Metro Manila, Philippines","(14.6070107, 121.0029809, 0.0)",14.6070107,121.0029809,0.0
260,"C5 Kalayaan NB, Philippines","C-5 & Kalayaan Ave, Makati, Metro Manila, Philippines","(14.5564054, 121.0631174, 0.0)",14.5564054,121.0631174,0.0
262,"EDSA Rockwell SB, Philippines","2/F Pavilion Greenfield District, Mandaluyong, 1552 Metro Manila, Philippines","(14.5787048, 121.0528717, 0.0)",14.5787048,121.0528717,0.0
264,"EDSA Ayala tunnel NB, Philippines","Edsa-Ayala, Makati, Metro Manila, Philippines","(14.549372, 121.029081, 0.0)",14.549372,121.029081,0.0
265,"EDSA Guadalupe NB, Philippines","2195 Epifanio de los Santos Ave, Makati, 1554 Metro Manila, Philippines","(14.5644828, 121.0451481, 0.0)",14.5644828,121.0451481,0.0
266,"Roxas Quirino SB, Philippines","Quirino Ave Ext, Paco, Manila, Metro Manila, Philippines","(14.5826074, 120.9985044, 0.0)",14.5826074,120.9985044,0.0
267,"C5 Kalayaan NB, Philippines","C-5 & Kalayaan Ave, Makati, Metro Manila, Philippines","(14.5564054, 121.0631174, 0.0)",14.5564054,121.0631174,0.0
268,"C5 Kalayaan NB, Philippines","C-5 & Kalayaan Ave, Makati, Metro Manila, Philippines","(14.5564054, 121.0631174, 0.0)",14.5564054,121.0631174,0.0
269,"EDSA Balintawak SB, Philippines","1238 Epifanio de los Santos Ave, Balintawak, Quezon City, 1106 Metro Manila, Philippines","(14.65799, 121.013701, 0.0)",14.65799,121.013701,0.0
270,"MIA Macapagal, Philippines","G/F Main Mall, SM Central Business Park, Seaside Blvd, 123, Pasay, 1300 Metro Manila, Philippines","(14.5353196, 120.9826773, 0.0)",14.5353196,120.9826773,0.0
271,"EDSA Balintawak SB, Philippines","1238 Epifanio de los Santos Ave, Balintawak, Quezon City, 1106 Metro Manila, Philippines","(14.65799, 121.013701, 0.0)",14.65799,121.013701,0.0
